"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
64,"nessun risultato",0,0,"Nürensdorf (ZH)","I resultati di questa comune non sono ancora noti."
65,"controproposta si",27.5,72.5,"Oberembrach (ZH)",
66,"nessun risultato",0,0,"Opfikon (ZH)","I resultati di questa comune non sono ancora noti."
67,"controproposta si",34.6,65.4,"Rafz (ZH)",
68,"nessun risultato",0,0,"Rorbas (ZH)","I resultati di questa comune non sono ancora noti."
69,"nessun risultato",0,0,"Wallisellen (ZH)","I resultati di questa comune non sono ancora noti."
70,"controproposta si",27.7,72.3,"Wasterkingen (ZH)",
71,"controproposta si",29,71,"Wil (ZH)",
72,"nessun risultato",0,0,"Winkel (ZH)","I resultati di questa comune non sono ancora noti."
81,"controproposta si",30.9,69.1,"Bachs (ZH)",
82,"controproposta si",27.6,72.4,"Boppelsen (ZH)",
83,"nessun risultato",0,0,"Buchs (ZH)","I resultati di questa comune non sono ancora noti."
84,"controproposta si",37.3,62.7,"Dällikon (ZH)",
85,"controproposta si",33.5,66.5,"Dänikon (ZH)",
86,"nessun risultato",0,0,"Dielsdorf (ZH)","I resultati di questa comune non sono ancora noti."
87,"controproposta si",19.2,80.8,"Hüttikon (ZH)",
88,"nessun risultato",0,0,"Neerach (ZH)","I resultati di questa comune non sono ancora noti."
89,"nessun risultato",0,0,"Niederglatt (ZH)","I resultati di questa comune non sono ancora noti."
90,"nessun risultato",0,0,"Niederhasli (ZH)","I resultati di questa comune non sono ancora noti."
91,"nessun risultato",0,0,"Niederweningen (ZH)","I resultati di questa comune non sono ancora noti."
92,"nessun risultato",0,0,"Oberglatt (ZH)","I resultati di questa comune non sono ancora noti."
93,"nessun risultato",0,0,"Oberweningen (ZH)","I resultati di questa comune non sono ancora noti."
94,"nessun risultato",0,0,"Otelfingen (ZH)","I resultati di questa comune non sono ancora noti."
95,"nessun risultato",0,0,"Regensberg (ZH)","I resultati di questa comune non sono ancora noti."
96,"nessun risultato",0,0,"Regensdorf (ZH)","I resultati di questa comune non sono ancora noti."
97,"controproposta si",39.9,60.1,"Rümlang (ZH)",
98,"controproposta si",35.3,64.7,"Schleinikon (ZH)",
99,"controproposta si",28.3,71.7,"Schöfflisdorf (ZH)",
100,"controproposta si",31.1,68.9,"Stadel (ZH)",
101,"controproposta si",30.2,69.8,"Steinmaur (ZH)",
102,"controproposta si",27.7,72.3,"Weiach (ZH)",
111,"nessun risultato",0,0,"Bäretswil (ZH)","I resultati di questa comune non sono ancora noti."
112,"controproposta si",32.1,67.9,"Bubikon (ZH)",
113,"nessun risultato",0,0,"Dürnten (ZH)","I resultati di questa comune non sono ancora noti."
114,"nessun risultato",0,0,"Fischenthal (ZH)","I resultati di questa comune non sono ancora noti."
115,"nessun risultato",0,0,"Gossau (ZH)","I resultati di questa comune non sono ancora noti."
116,"nessun risultato",0,0,"Grüningen (ZH)","I resultati di questa comune non sono ancora noti."
117,"nessun risultato",0,0,"Hinwil (ZH)","I resultati di questa comune non sono ancora noti."
118,"nessun risultato",0,0,"Rüti (ZH)","I resultati di questa comune non sono ancora noti."
119,"nessun risultato",0,0,"Seegräben (ZH)","I resultati di questa comune non sono ancora noti."
120,"nessun risultato",0,0,"Wald (ZH)","I resultati di questa comune non sono ancora noti."
121,"nessun risultato",0,0,"Wetzikon (ZH)","I resultati di questa comune non sono ancora noti."
131,"nessun risultato",0,0,"Adliswil (ZH)","I resultati di questa comune non sono ancora noti."
135,"nessun risultato",0,0,"Kilchberg (ZH)","I resultati di questa comune non sono ancora noti."
136,"nessun risultato",0,0,"Langnau am Albis (ZH)","I resultati di questa comune non sono ancora noti."
137,"nessun risultato",0,0,"Oberrieden (ZH)","I resultati di questa comune non sono ancora noti."
138,"nessun risultato",0,0,"Richterswil (ZH)","I resultati di questa comune non sono ancora noti."
139,"nessun risultato",0,0,"Rüschlikon (ZH)","I resultati di questa comune non sono ancora noti."
