"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
216,59.8,59.8,40.2,"Dinhard ZH","In Dinhard ist die Initiative ""Stopp Prämien-Schock"" mit 59,8 Prozent der Stimmen angenommen worden."
218,64.1,64.1,35.9,"Ellikon an der Thur ZH","In Ellikon an der Thur ist die Initiative ""Stopp Prämien-Schock"" mit 64,1 Prozent der Stimmen angenommen worden."
219,58.2,58.2,41.8,"Elsau ZH","58,2 Prozent der Stimmbürgerinnen und Stimmbürger in Elsau sagen Ja zur Initiative ""Stopp Prämien-Schock""."
220,61.4,61.4,38.6,"Hagenbuch ZH","61,4 Prozent der Stimmbürgerinnen und Stimmbürger in Hagenbuch sagen Ja zur Initiative ""Stopp Prämien-Schock""."
221,53.8,53.8,46.2,"Hettlingen ZH","53,8 Prozent der Stimmbürgerinnen und Stimmbürger von Hettlingen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
223,56.9,56.9,43.1,"Neftenbach ZH","56,9 Prozent der Stimmbürgerinnen und Stimmbürger in Neftenbach sagen Ja zur Initiative ""Stopp Prämien-Schock""."
224,61.4,61.4,38.6,"Pfungen ZH","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Pfungen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
225,53.5,53.5,46.5,"Rickenbach ZH","53,5 Prozent der Stimmbürgerinnen und Stimmbürger in Rickenbach ZH sagen Ja zur Initiative ""Stopp Prämien-Schock""."
226,66.2,66.2,33.8,"Schlatt ZH","In Schlatt ZH ist die Initiative ""Stopp Prämien-Schock"" mit 66,2 Prozent der Stimmen angenommen worden."
227,56.5,56.5,43.5,"Seuzach ZH","In Seuzach ist die Initiative ""Stopp Prämien-Schock"" mit 56,5 Prozent der Stimmen angenommen worden."
228,61.9,61.9,38.1,"Turbenthal ZH","61,9 Prozent der Stimmbürgerinnen und Stimmbürger in Turbenthal sagen Ja zur Initiative ""Stopp Prämien-Schock""."
230,50,0,0,"Winterthur ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
231,60.1,60.1,39.9,"Zell ZH","In Zell ZH ist die Initiative ""Stopp Prämien-Schock"" mit 60,1 Prozent der Stimmen angenommen worden."
241,51.7,51.7,48.3,"Aesch ZH","In Aesch ZH ist die Initiative ""Stopp Prämien-Schock"" mit 51,7 Prozent der Stimmen angenommen worden."
242,50,0,0,"Birmensdorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
243,58.2,58.2,41.8,"Dietikon ZH","In Dietikon ist die Initiative ""Stopp Prämien-Schock"" mit 58,2 Prozent der Stimmen angenommen worden."
244,50,0,0,"Geroldswil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
245,50,0,0,"Oberengstringen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
246,59.5,59.5,40.5,"Oetwil an der Limmat ZH","In Oetwil an der Limmat ist die Initiative ""Stopp Prämien-Schock"" mit 59,5 Prozent der Stimmen angenommen worden."
247,60.1,60.1,39.9,"Schlieren ZH","In Schlieren ist die Initiative ""Stopp Prämien-Schock"" mit 60,1 Prozent der Stimmen angenommen worden."
248,50,0,0,"Uitikon ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
249,57.8,57.8,42.2,"Unterengstringen ZH","57,8 Prozent der Stimmbürgerinnen und Stimmbürger in Unterengstringen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
250,55.7,55.7,44.3,"Urdorf ZH","55,7 Prozent der Stimmbürgerinnen und Stimmbürger von Urdorf haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
251,61.8,61.8,38.2,"Weiningen ZH","In Weiningen ZH ist die Initiative ""Stopp Prämien-Schock"" mit 61,8 Prozent der Stimmen angenommen worden."
261,50,0,0,"Zürich ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
291,56.2,56.2,43.8,"Andelfingen ZH","56,2 Prozent der Stimmbürgerinnen und Stimmbürger in Andelfingen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
292,57.1,57.1,42.9,"Stammheim ZH","57,1 Prozent der Stimmbürgerinnen und Stimmbürger von Stammheim haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
293,50,0,0,"Wädenswil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
294,54.7,54.7,45.3,"Elgg ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Elgg haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
295,55.2,55.2,44.8,"Horgen ZH","In Horgen ist die Initiative ""Stopp Prämien-Schock"" mit 55,2 Prozent der Stimmen angenommen worden."
296,54.6,54.6,45.4,"Illnau-Effretikon ZH","54,6 Prozent der Stimmbürgerinnen und Stimmbürger in Illnau-Effretikon sagen Ja zur Initiative ""Stopp Prämien-Schock""."
297,68,68,32,"Bauma ZH","68 Prozent der Stimmbürgerinnen und Stimmbürger von Bauma haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
298,58.1,58.1,41.9,"Wiesendangen ZH","58,1 Prozent der Stimmbürgerinnen und Stimmbürger in Wiesendangen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
