"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5108,56.7,56.7,43.3,"Gordola (TI)","A Gordola, la modifica della legge sul servizio civile è approvata con il 56,7 per cento."
5112,46.5,46.5,53.5,"Lavertezzo (TI)","La popolazione di Lavertezzo respinge la modifica della legge sul servizio civile con il 53,5 per cento."
5113,48.5,48.5,51.5,"Locarno (TI)","La popolazione di Locarno respinge la modifica della legge sul servizio civile con il 51,5 per cento."
5115,54.5,54.5,45.5,"Losone (TI)","Sì alla modifica della legge sul servizio civile a Losone con il 54,5 per cento."
5117,36.1,36.1,63.9,"Mergoscia (TI)","A Mergoscia la modifica della legge sul servizio civile è respinta con 62 contro 35 voti."
5118,52.1,52.1,47.9,"Minusio (TI)","Sì alla modifica della legge sul servizio civile a Minusio: 52,1 per cento."
5120,56.4,56.4,43.6,"Muralto (TI)","A Muralto, la modifica della legge sul servizio civile è stata approvata con il 56,4 per cento."
5121,53.8,53.8,46.2,"Orselina (TI)","Sì alla modifica della legge sul servizio civile a Orselina con il 53,8 per cento."
5125,58.8,58.8,41.2,"Ronco sopra Ascona (TI)","Sì alla modifica della legge sul servizio civile a Ronco sopra Ascona con il 58,8 per cento."
5131,51.8,51.8,48.2,"Tenero-Contra (TI)","La popolazione di Tenero-Contra approva la modifica della legge sul servizio civile con il 51,8 per cento."
5136,44.6,44.6,55.4,"Onsernone (TI)","La popolazione di Onsernone respinge la modifica della legge sul servizio civile con il 55,4 per cento."
5138,49.3,49.3,50.7,"Cugnasco-Gerra (TI)","La popolazione di Cugnasco-Gerra respinge la modifica della legge sul servizio civile con il 50,7 per cento."
5141,55.7,55.7,44.3,"Agno (TI)","La popolazione di Agno approva la modifica della legge sul servizio civile con il 55,7 per cento."
5143,44.4,44.4,55.6,"Aranno (TI)","Con il 55,6 per cento dei voti, Aranno ha respinto la modifica della legge sul servizio civile."
5144,45.6,45.6,54.4,"Arogno (TI)","La popolazione di Arogno respinge la modifica della legge sul servizio civile con il 54,4 per cento."
5148,53.6,53.6,46.4,"Bedano (TI)","Sì alla modifica della legge sul servizio civile a Bedano: 53,6 per cento."
5151,58.7,58.7,41.3,"Bioggio (TI)","A Bioggio, la modifica della legge sul servizio civile è approvata con il 58,7 per cento."
5154,61.4,61.4,38.6,"Bissone (TI)","La popolazione di Bissone approva la modifica della legge sul servizio civile con il 61,4 per cento."
5160,56.9,56.9,43.1,"Brusino Arsizio (TI)","Sì alla modifica della legge sul servizio civile a Brusino Arsizio, con il 56,9 per cento di voti favorevoli."
5161,61.1,61.1,38.9,"Cademario (TI)","A Cademario la modifica della legge sul servizio civile è stata approvata con il 61,1 per cento."
5162,53.6,53.6,46.4,"Cadempino (TI)","Sì alla modifica della legge sul servizio civile a Cadempino: 53,6 per cento."
5167,60,60,40,"Canobbio (TI)","La popolazione di Canobbio approva la modifica della legge sul servizio civile con il 60 per cento."
5171,54,54,46,"Caslano (TI)","A Caslano la modifica della legge sul servizio civile è stata approvata con il 54 per cento."
5176,51.1,51.1,48.9,"Comano (TI)","A Comano la modifica della legge sul servizio civile è stata approvata con il 51,1 per cento."
5180,58.7,58.7,41.3,"Cureglia (TI)","Sì alla modifica della legge sul servizio civile a Cureglia: 58,7 per cento."
5186,54.3,54.3,45.7,"Grancia (TI)","A Grancia, la modifica della legge sul servizio civile è approvata con il 54,3 per cento."
5187,57.5,57.5,42.5,"Gravesano (TI)","Sì alla modifica della legge sul servizio civile a Gravesano: 57,5 per cento."
5189,56.3,56.3,43.7,"Lamone (TI)","Sì alla modifica della legge sul servizio civile a Lamone: 56,3 per cento."
5192,54.4,54.4,45.6,"Lugano (TI)","La popolazione di Lugano approva la modifica della legge sul servizio civile con il 54,4 per cento."
5193,49.3,49.3,50.7,"Magliaso (TI)","Con il 50,7 per cento dei voti, la modifica della legge sul servizio civile viene respinta a Magliaso."
5194,59.4,59.4,40.6,"Manno (TI)","Sì alla modifica della legge sul servizio civile a Manno con il 59,4 per cento."
5196,52.6,52.6,47.4,"Massagno (TI)","A Massagno, la modifica della legge sul servizio civile è approvata con il 52,6 per cento."
5198,54.9,54.9,45.1,"Melide (TI)","A Melide la modifica della legge sul servizio civile è stata approvata con il 54,9 per cento."
5199,63.5,63.5,36.5,"Mezzovico-Vira (TI)","A Mezzovico-Vira, la modifica della legge sul servizio civile è stata approvata con il 63,5 per cento."
5203,65,65,35,"Morcote (TI)","Sì alla modifica della legge sul servizio civile a Morcote: 65 per cento."
5205,54.4,54.4,45.6,"Muzzano (TI)","Sì alla modifica della legge sul servizio civile a Muzzano: 54,4 per cento."
