"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3661,55.2,55.2,44.8,"Cazis (GR)","La popolazione di Cazis approva la modifica della legge sul servizio civile con il 55,2 per cento."
3662,55,55,45,"Flerden (GR)","A Flerden, la modifica della legge sul servizio civile è approvata con il 55 per cento."
3663,45,45,55,"Masein (GR)","La popolazione di Masein respinge la modifica della legge sul servizio civile con il 55 per cento."
3668,59.6,59.6,40.4,"Thusis (GR)","A Thusis, la modifica della legge sul servizio civile è approvata con il 59,6 per cento."
3669,51.4,51.4,48.6,"Tschappina (GR)","A Tschappina la modifica della legge sul servizio civile passa con 38 contro 36 voti."
3670,59.4,59.4,40.6,"Urmein (GR)","Sì alla modifica della legge sul servizio civile a Urmein, con il 59,4 per cento di voti favorevoli."
3672,60.4,60.4,39.6,"Safiental (GR)","La popolazione di Safiental approva la modifica della legge sul servizio civile con il 60,4 per cento."
3673,53.9,53.9,46.1,"Domleschg (GR)","A Domleschg, la modifica della legge sul servizio civile è stata approvata con il 53,9 per cento."
3681,60,60,40,"Avers (GR)","A Avers, la modifica della legge sul servizio civile è approvata con 57 voti contro 38."
3695,68.4,68.4,31.6,"Sufers (GR)","A Sufers, la modifica della legge sul servizio civile è approvata con 54 voti contro 25."
3701,59,59,41,"Andeer (GR)","Sì alla modifica della legge sul servizio civile a Andeer, con il 59 per cento di voti favorevoli."
3711,63,63,37,"Rongellen (GR)","A Rongellen, la modifica della legge sul servizio civile è approvata con 17 voti contro 10."
3712,60.7,60.7,39.3,"Zillis-Reischen (GR)","A Zillis-Reischen la modifica della legge sul servizio civile è stata approvata con il 60,7 per cento."
3713,58.8,58.8,41.2,"Ferrera (GR)","A Ferrera la modifica della legge sul servizio civile passa con 20 contro 14 voti."
3714,65.2,65.2,34.8,"Rheinwald (GR)","A Rheinwald, la modifica della legge sul servizio civile è approvata con il 65,2 per cento."
3715,57.3,57.3,42.7,"Muntogna da Schons (GR)","Sì alla modifica della legge sul servizio civile a Muntogna da Schons con il 57,3 per cento."
3721,58.4,58.4,41.6,"Bonaduz (GR)","Sì alla modifica della legge sul servizio civile a Bonaduz con il 58,4 per cento."
3722,58.5,58.5,41.5,"Domat/Ems (GR)","A Domat/Ems, la modifica della legge sul servizio civile è approvata con il 58,5 per cento."
3723,55.3,55.3,44.7,"Rhäzüns (GR)","A Rhäzüns, la modifica della legge sul servizio civile è stata approvata con il 55,3 per cento."
3731,58.7,58.7,41.3,"Felsberg (GR)","A Felsberg, la modifica della legge sul servizio civile è approvata con il 58,7 per cento."
3732,61.3,61.3,38.7,"Flims (GR)","A Flims, la modifica della legge sul servizio civile è approvata con il 61,3 per cento."
3733,57.8,57.8,42.2,"Tamins (GR)","Sì alla modifica della legge sul servizio civile a Tamins con il 57,8 per cento."
3734,53.6,53.6,46.4,"Trin (GR)","La popolazione di Trin approva la modifica della legge sul servizio civile con il 53,6 per cento."
3746,60.8,60.8,39.2,"Zernez (GR)","Sì alla modifica della legge sul servizio civile a Zernez con il 60,8 per cento."
3752,70.3,70.3,29.7,"Samnaun (GR)","Sì alla modifica della legge sul servizio civile a Samnaun: 70,3 per cento."
3762,54.5,54.5,45.5,"Scuol (GR)","Sì alla modifica della legge sul servizio civile a Scuol: 54,5 per cento."
3764,61.2,61.2,38.8,"Valsot (GR)","A Valsot, la modifica della legge sul servizio civile è approvata con il 61,2 per cento."
3781,57.2,57.2,42.8,"Bever (GR)","A Bever la modifica della legge sul servizio civile è stata approvata con il 57,2 per cento."
3782,65.9,65.9,34.1,"Celerina/Schlarigna (GR)","Sì alla modifica della legge sul servizio civile a Celerina/Schlarigna con il 65,9 per cento."
3783,66.7,66.7,33.3,"Madulain (GR)","A Madulain la modifica della legge sul servizio civile passa con 64 contro 32 voti."
3784,64.6,64.6,35.4,"Pontresina (GR)","A Pontresina, la modifica della legge sul servizio civile è stata approvata con il 64,6 per cento."
3785,67.4,67.4,32.6,"La Punt-Chamues-ch (GR)","A La Punt-Chamues-ch, la modifica della legge sul servizio civile è approvata con il 67,4 per cento."
3786,62.2,62.2,37.8,"Samedan (GR)","Sì alla modifica della legge sul servizio civile a Samedan con il 62,2 per cento."
3787,62.9,62.9,37.1,"St. Moritz (GR)","Sì alla modifica della legge sul servizio civile a St. Moritz: 62,9 per cento."
3788,64,64,36,"S-chanf (GR)","Sì alla modifica della legge sul servizio civile a S-chanf con il 64 per cento."
3789,61.2,61.2,38.8,"Sils im Engadin/Segl (GR)","A Sils im Engadin/Segl, la modifica della legge sul servizio civile è approvata con il 61,2 per cento."
